C:\Users\Meity-4\AppData\Local\Programs\Python\Python310\python.exe: can't open file 'C:\\Users\\Meity-4\\air-quality-forecasting\\multi_device_pipeline.py': [Errno 2] No such file or directory
Pipeline completed at 30-06-2025 14:28:39.25 
Pipeline completed at 30-06-2025 14:33:00.83 
Pipeline execution completed at 23-09-2025 11:13:17.54 
Pipeline execution completed at 23-09-2025 11:18:15.76 
Pipeline execution completed at 23-09-2025 12:03:28.11 
Pipeline execution completed at 24-09-2025 10:03:29.05 
Pipeline execution completed at 24-09-2025 12:03:28.67 
Pipeline execution completed at 25-09-2025 10:08:03.66 
Pipeline execution completed at 25-09-2025 12:06:33.28 
Pipeline execution completed at 26-09-2025 10:05:59.51 
Pipeline execution completed at 26-09-2025 12:06:05.60 
Pipeline execution completed at 29-09-2025 10:07:19.75 
Pipeline execution completed at 29-09-2025 12:07:11.53 
Pipeline execution completed at 30-09-2025 12:05:57.03 
Pipeline execution completed at 03-10-2025 10:06:25.17 
Pipeline execution completed at 03-10-2025 12:06:00.76 
Pipeline execution completed at 04-10-2025 10:06:52.71 
Pipeline execution completed at 04-10-2025 12:05:58.31 
Pipeline execution completed at 06-10-2025 10:15:53.14 
Pipeline execution completed at 06-10-2025 12:15:44.27 
Pipeline execution completed at 07-10-2025 10:06:36.90 
Pipeline execution completed at 07-10-2025 12:07:27.28 
Pipeline execution completed at 08-10-2025 10:07:59.93 
Pipeline execution completed at 08-10-2025 12:06:19.68 
Pipeline execution completed at 09-10-2025 10:06:51.88 
Pipeline execution completed at 09-10-2025 12:07:33.27 
Pipeline execution completed at 10-10-2025 10:17:24.35 
Pipeline execution completed at 10-10-2025 12:05:52.97 
Pipeline execution completed at 11-10-2025 10:06:01.58 
Pipeline execution completed at 11-10-2025 12:06:22.39 
Pipeline execution completed at 13-10-2025 10:07:22.38 
Pipeline execution completed at 13-10-2025 12:06:32.41 
Pipeline execution completed at 14-10-2025 10:09:38.53 
Pipeline execution completed at 14-10-2025 12:06:46.57 
Pipeline execution completed at 15-10-2025 10:06:41.57 
Pipeline execution completed at 15-10-2025 12:06:47.86 
Pipeline execution completed at 16-10-2025 10:15:55.34 
Pipeline execution completed at 16-10-2025 12:14:44.85 
Pipeline execution completed at 17-10-2025 10:17:00.00 
Pipeline execution completed at 17-10-2025 12:07:50.82 
Pipeline execution completed at 18-10-2025 10:06:37.74 
Pipeline execution completed at 18-10-2025 12:06:40.80 
Pipeline execution completed at 21-10-2025 10:06:37.79 
Pipeline execution completed at 21-10-2025 12:07:40.88 
Pipeline execution completed at 22-10-2025 10:06:50.19 
Pipeline execution completed at 22-10-2025 12:06:17.64 
Pipeline execution completed at 23-10-2025 10:06:39.56 
Pipeline execution completed at 23-10-2025 12:06:39.05 
Pipeline execution completed at 24-10-2025 10:06:44.75 
Pipeline execution completed at 24-10-2025 12:06:10.36 
Pipeline execution completed at 25-10-2025 10:16:52.14 
Pipeline execution completed at 25-10-2025 12:17:59.70 
Pipeline execution completed at 27-10-2025 10:17:02.56 
Pipeline execution completed at 27-10-2025 12:17:08.00 
Pipeline execution completed at 28-10-2025 10:17:45.14 
Pipeline execution completed at 28-10-2025 12:17:14.81 
Pipeline execution completed at 29-10-2025 10:16:46.94 
Pipeline execution completed at 29-10-2025 12:16:48.90 
Pipeline execution completed at 30-10-2025 10:18:53.04 
Pipeline execution completed at 30-10-2025 12:16:50.53 
Pipeline execution completed at 31-10-2025 10:17:45.88 
Pipeline execution completed at 31-10-2025 12:17:16.88 
Pipeline execution completed at 01-11-2025 10:17:04.09 
Pipeline execution completed at 01-11-2025 12:17:29.70 
Pipeline execution completed at 03-11-2025 10:17:20.87 
Pipeline execution completed at 03-11-2025 12:18:42.90 
Pipeline execution completed at 04-11-2025 10:17:47.18 
Pipeline execution completed at 04-11-2025 12:17:30.25 
Pipeline execution completed at 05-11-2025 10:17:32.23 
Pipeline execution completed at 05-11-2025 12:17:57.67 
Pipeline execution completed at 06-11-2025 10:18:02.01 
Pipeline execution completed at 06-11-2025 12:18:01.04 
Pipeline execution completed at 07-11-2025 10:18:12.03 
Pipeline execution completed at 07-11-2025 12:17:57.38 
Pipeline execution completed at 10-11-2025 10:19:10.98 
Pipeline execution completed at 10-11-2025 12:16:26.87 
Pipeline execution completed at 11-11-2025 10:16:24.67 
Pipeline execution completed at 11-11-2025 12:17:50.36 
Pipeline execution completed at 12-11-2025 10:24:10.69 
Pipeline execution completed at 12-11-2025 12:27:18.33 
Pipeline execution completed at 13-11-2025 10:17:48.23 
Pipeline execution completed at 13-11-2025 12:16:18.21 
Pipeline execution completed at 14-11-2025 10:16:36.83 
Pipeline execution completed at 14-11-2025 12:19:23.87 
Pipeline execution completed at 15-11-2025 10:18:21.71 
Pipeline execution completed at 15-11-2025 12:18:04.93 
Pipeline execution completed at 17-11-2025 10:16:43.05 
Pipeline execution completed at 17-11-2025 12:17:05.19 
Pipeline execution completed at 18-11-2025 10:22:47.75 
Pipeline execution completed at 18-11-2025 12:22:22.06 
Pipeline execution completed at 19-11-2025 10:40:54.61 
Pipeline execution completed at 19-11-2025 12:40:28.97 
Pipeline execution completed at 20-11-2025 10:40:15.55 
Pipeline execution completed at 20-11-2025 12:41:14.15 
Pipeline execution completed at 21-11-2025 10:41:24.18 
Pipeline execution completed at 21-11-2025 12:38:48.67 
Pipeline execution completed at 22-11-2025 10:41:23.25 
Pipeline execution completed at 22-11-2025 12:40:19.02 
Pipeline execution completed at 24-11-2025 10:40:08.77 
Pipeline execution completed at 24-11-2025 12:39:06.40 
Pipeline execution completed at 25-11-2025 10:37:58.38 
Pipeline execution completed at 25-11-2025 12:40:13.70 
Pipeline execution completed at 27-11-2025 10:02:10.13 
Pipeline execution completed at 27-11-2025 12:40:13.84 
Pipeline execution completed at 28-11-2025 10:40:18.39 
Pipeline execution completed at 28-11-2025 12:40:20.17 
Pipeline execution completed at 29-11-2025 10:37:23.30 
Pipeline execution completed at 29-11-2025 12:38:24.60 
Pipeline execution completed at 01-12-2025 10:39:21.16 
Pipeline execution completed at 01-12-2025 12:40:18.74 
Pipeline execution completed at 02-12-2025 10:37:37.30 
Pipeline execution completed at 02-12-2025 12:39:04.31 
Pipeline execution completed at 03-12-2025 10:40:23.75 
Pipeline execution completed at 03-12-2025 12:40:36.71 
Pipeline execution completed at 04-12-2025 10:39:21.29 
Pipeline execution completed at 04-12-2025 12:38:56.40 
Pipeline execution completed at 05-12-2025 10:40:12.10 
Pipeline execution completed at 05-12-2025 12:39:21.28 
Pipeline execution completed at 06-12-2025 10:36:55.87 
Pipeline execution completed at 06-12-2025 12:38:27.05 
Pipeline execution completed at 08-12-2025 10:38:54.92 
Pipeline execution completed at 08-12-2025 12:37:15.41 
Pipeline execution completed at 10-12-2025 10:51:13.32 
Pipeline execution completed at 10-12-2025 12:48:56.12 
Pipeline execution completed at 11-12-2025 10:39:03.65 
Pipeline execution completed at 11-12-2025 12:36:47.22 
Pipeline execution completed at 12-12-2025 10:40:28.72 
Pipeline execution completed at 12-12-2025 12:51:43.47 
Pipeline execution completed at 15-12-2025 10:42:01.68 
Pipeline execution completed at 15-12-2025 12:39:50.11 
Pipeline execution completed at 16-12-2025 10:46:20.00 
Pipeline execution completed at 16-12-2025 12:30:44.36 
Pipeline execution completed at 17-12-2025 10:43:47.82 
Pipeline execution completed at 17-12-2025 12:38:39.59 
Pipeline execution completed at 18-12-2025 10:18:54.42 
Pipeline execution completed at 18-12-2025 12:17:10.40 
Pipeline execution completed at 19-12-2025 10:28:33.03 
Pipeline execution completed at 19-12-2025 12:27:22.67 
Pipeline execution completed at 20-12-2025 10:29:19.32 
Pipeline execution completed at 20-12-2025 12:27:47.20 
Pipeline execution completed at 22-12-2025 10:26:56.93 
Pipeline execution completed at 22-12-2025 12:28:27.77 
Pipeline execution completed at 23-12-2025 10:28:20.61 
Pipeline execution completed at 23-12-2025 12:31:08.42 
Pipeline execution completed at 26-12-2025 10:31:06.68 
Pipeline execution completed at 26-12-2025 12:31:29.28 
Pipeline execution completed at 27-12-2025 10:32:51.06 
Pipeline execution completed at 27-12-2025 12:41:33.43 
Pipeline execution completed at 30-12-2025 10:33:42.55 
Pipeline execution completed at 30-12-2025 12:33:15.16 
Pipeline execution completed at 31-12-2025 10:19:10.54 
Pipeline execution completed at 31-12-2025 12:20:26.94 
Pipeline execution completed at 01-01-2026 12:21:21.17 
Pipeline execution completed at 03-01-2026 10:21:12.03 
Pipeline execution completed at 03-01-2026 12:21:57.25 
Pipeline execution completed at 05-01-2026 10:33:50.65 
Pipeline execution completed at 05-01-2026 12:32:29.93 
Pipeline execution completed at 06-01-2026 10:21:57.74 
Pipeline execution completed at 06-01-2026 12:20:20.61 
Pipeline execution completed at 07-01-2026 10:31:58.15 
Pipeline execution completed at 07-01-2026 12:32:31.90 
Pipeline execution completed at 08-01-2026 10:20:17.04 
Pipeline execution completed at 08-01-2026 12:21:28.62 
Pipeline execution completed at 09-01-2026 10:21:54.12 
Pipeline execution completed at 09-01-2026 12:22:30.92 
Pipeline execution completed at 12-01-2026 10:23:56.63 
Pipeline execution completed at 12-01-2026 12:20:38.25 
Pipeline execution completed at 13-01-2026 10:32:50.03 
Pipeline execution completed at 13-01-2026 12:33:15.77 
Pipeline execution completed at 14-01-2026 10:22:09.65 
Pipeline execution completed at 14-01-2026 12:21:54.34 
Pipeline execution completed at 15-01-2026 10:20:14.69 
Pipeline execution completed at 15-01-2026 12:21:42.30 
Pipeline execution completed at 16-01-2026 10:22:38.77 
Pipeline execution completed at 16-01-2026 12:23:23.61 
Pipeline execution completed at 17-01-2026 10:20:23.29 
Pipeline execution completed at 17-01-2026 12:22:22.80 
Pipeline execution completed at 19-01-2026 10:22:20.96 
Pipeline execution completed at 19-01-2026 12:22:29.12 
Pipeline execution completed at 20-01-2026 10:23:20.01 
Pipeline execution completed at 20-01-2026 12:24:38.68 
Pipeline execution completed at 21-01-2026 10:21:05.79 
Pipeline execution completed at 21-01-2026 12:23:22.26 
Pipeline execution completed at 22-01-2026 10:22:13.63 
Pipeline execution completed at 22-01-2026 12:22:33.94 
Pipeline execution completed at 23-01-2026 10:21:13.19 
Pipeline execution completed at 23-01-2026 12:21:39.68 
Pipeline execution completed at 27-01-2026 10:25:53.56 
Pipeline execution completed at 27-01-2026 12:23:00.73 
Pipeline execution completed at 28-01-2026 10:23:46.24 
Pipeline execution completed at 28-01-2026 12:24:02.11 
Pipeline execution completed at 29-01-2026 10:24:39.58 
Pipeline execution completed at 29-01-2026 12:24:37.27 
Pipeline execution completed at 30-01-2026 12:26:38.16 
Pipeline execution completed at 31-01-2026 10:24:55.47 
Pipeline execution completed at 31-01-2026 12:28:43.76 
Pipeline execution completed at 02-02-2026 10:25:01.95 
Pipeline execution completed at 02-02-2026 12:27:05.46 
Pipeline execution completed at 03-02-2026 10:27:53.28 
Pipeline execution completed at 03-02-2026 12:27:16.55 
Pipeline execution completed at 04-02-2026 10:24:43.39 
Pipeline execution completed at 04-02-2026 12:25:36.34 
Pipeline execution completed at 05-02-2026 10:29:26.13 
Pipeline execution completed at 05-02-2026 12:27:08.77 
Pipeline execution completed at 06-02-2026 12:48:36.07 
Pipeline execution completed at 10-02-2026 10:27:40.03 
Pipeline execution completed at 10-02-2026 12:25:45.10 
Pipeline execution completed at 11-02-2026 10:33:07.23 
Pipeline execution completed at 11-02-2026 12:35:10.76 
